,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent ,Equivalent ,Individual,Property Assertions,
1132,http://purl.org/pan-science/PaNET/PaNET01132,UV circular dichroism,UVCD,,,,owl:Class,subclass,circular dichroism,UV photon probe,,,,,,,,
1133,http://purl.org/pan-science/PaNET/PaNET01133,ultra small angle scattering,USAS,,,,owl:Class,subclass,ultra low momentum transfer scattering,small angle scattering,,,,,,,,
1134,http://purl.org/pan-science/PaNET/PaNET01134,wide angle scattering,,,,,owl:Class,subclass,high momentum transfer scattering,,,,,,,,,
1135,http://purl.org/pan-science/PaNET/PaNET01135,absorption spectroscopy,,,,,owl:Class,subclass,absorption technique,spectroscopy,,,,,,,,
1136,http://purl.org/pan-science/PaNET/PaNET01136,diffraction imaging,topography,,,,owl:Class,subclass,diffraction,imaging,,,,,,,,
1137,http://purl.org/pan-science/PaNET/PaNET01137,x-ray magnetic circular dichroism,XMCD,,,https://en.wikipedia.org/wiki/X-ray_magnetic_circular_dichroism,owl:Class,subclass,x-ray probe,versus photon circular polarization,absorption technique,magnetism technique,dichroism,,,,,
1138,http://purl.org/pan-science/PaNET/PaNET01138,linear dichroism,LD,,,https://en.wikipedia.org/wiki/Linear_dichroism,owl:Class,subclass,absorption technique,versus photon linear polarization,dichroism,,,,,,,
1139,http://purl.org/pan-science/PaNET/PaNET01139,natural linear dichroism,,,,,owl:Class,subclass,linear dichroism,,,,,,,,,
1140,http://purl.org/pan-science/PaNET/PaNET01140,x-ray excited optical luminescence,XEOL,,,,owl:Class,subclass,x-ray probe,visible photon emission technique,,,,,,,,
1141,http://purl.org/pan-science/PaNET/PaNET01141,magnetic circular dichroism,MCD,,,https://en.wikipedia.org/wiki/Magnetic_circular_dichroism,owl:Class,subclass,photon probe,versus photon circular polarization,magnetism technique,absorption technique,dichroism,,,,,
1142,http://purl.org/pan-science/PaNET/PaNET01142,magnetic linear dichroism,,,,,owl:Class,subclass,photon probe,versus photon linear polarization,magnetism technique,absorption technique,,,,,,
1143,http://purl.org/pan-science/PaNET/PaNET01143,magnetochiral dichroism,MChD,,,,owl:Class,subclass,photon probe,versus polarization,chiral determination,magnetism technique,dichroism,,,,,
1144,http://purl.org/pan-science/PaNET/PaNET01144,natural circular dichroism,NCD,,,,owl:Class,subclass,photon probe,versus photon circular polarization,chiral determination,dichroism,,,,,,
1145,http://purl.org/pan-science/PaNET/PaNET01145,electron microscopy,EM,,,https://en.wikipedia.org/wiki/Electron_microscope,owl:Class,subclass,electron emission technique,microscopy,,,,,,,,
1146,http://purl.org/pan-science/PaNET/PaNET01146,photoemission microscopy,PEEM,photoemission electron microscopy,,https://en.wikipedia.org/wiki/Photoemission_electron_microscopy,owl:Class,subclass,photon probe,electron microscopy,,,,,,,,
1147,http://purl.org/pan-science/PaNET/PaNET01147,scanning probe imaging,,,,,owl:Class,subclass,versus position,scanning probe,imaging,,,,,,,
1148,http://purl.org/pan-science/PaNET/PaNET01148,scanning probe microscopy,scanning microscopy,,,,owl:Class,subclass,scanning probe imaging,microscopy,,,,,,,,
1149,http://purl.org/pan-science/PaNET/PaNET01149,x-ray reflectivity,XRR,x-ray reflectometry,,https://en.wikipedia.org/wiki/X-ray_reflectivity,owl:Class,subclass,x-ray probe,reflection technique,versus momentum transfer,,,,,,,
1150,http://purl.org/pan-science/PaNET/PaNET01150,grating interferometry,,,,,owl:Class,subclass,interferometry technique,refraction technique,propagation technique,,,,,,,
1151,http://purl.org/pan-science/PaNET/PaNET01151,absorption tomography,,,,,owl:Class,subclass,tomography,absorption technique,,,,,,,,
1152,http://purl.org/pan-science/PaNET/PaNET01152,propagation phase contrast tomography,,,,,owl:Class,subclass,propagation technique,tomography,refraction technique,,,,,,,
1153,http://purl.org/pan-science/PaNET/PaNET01153,ultrafast tomography,,,,,owl:Class,subclass,tomography,versus time ultrafast,,,,,,,,
1154,http://purl.org/pan-science/PaNET/PaNET01154,nanotomography,,,,https://en.wikipedia.org/wiki/Nanotomography,owl:Class,subclass,tomography,obtain ultrahigh resolution spatial map,,,,,,,,
1155,http://purl.org/pan-science/PaNET/PaNET01155,absorption and phase contrast nanotomography,,,,,owl:Class,subclass,nanotomography,absorption technique,refraction technique,,,,,,,
1156,http://purl.org/pan-science/PaNET/PaNET01156,x-ray spectroscopy,,,,https://en.wikipedia.org/wiki/X-ray_spectroscopy,owl:Class,equivalent,spectroscopy,x-ray probe,,,,,,,,
1157,http://purl.org/pan-science/PaNET/PaNET01157,in-situ diffraction,,,,,owl:Class,subclass,diffraction,,,,,,,,,
1158,http://purl.org/pan-science/PaNET/PaNET01158,in-situ surface diffraction,,,,,owl:Class,subclass,surface diffraction,in-situ diffraction,,,,,,,,
1159,http://purl.org/pan-science/PaNET/PaNET01159,energy dispersive diffraction,EDD,,,,owl:Class,subclass,powder diffraction,dispersive technique,,,,,,,,
1160,http://purl.org/pan-science/PaNET/PaNET01160,energy dispersive x-ray diffraction,EDXRD,,,https://en.wikipedia.org/wiki/Energy-dispersive_X-ray_diffraction,owl:Class,subclass,energy dispersive diffraction,x-ray probe,,,,,,,,
1161,http://purl.org/pan-science/PaNET/PaNET01161,grazing incidence x-ray diffraction,GIXD,,,,owl:Class,subclass,grazing incidence diffraction,x-ray probe,,,,,,,,
1162,http://purl.org/pan-science/PaNET/PaNET01162,grazing incidence small angle x-ray scattering,GISAXS,,,https://en.wikipedia.org/wiki/Grazing-incidence_small-angle_scattering,owl:Class,subclass,grazing incidence small angle scattering,small angle x-ray scattering,,,,,,,,
1163,http://purl.org/pan-science/PaNET/PaNET01163,high pressure single crystal diffraction,Diffraction,,,,owl:Class,subclass,single crystal diffraction,versus sample pressure,,,,,,,,
1164,http://purl.org/pan-science/PaNET/PaNET01164,macromolecular crystallography,MX,protein crystallography,,,owl:Class,subclass,single crystal diffraction,crystallography,,,,,,,,
1165,http://purl.org/pan-science/PaNET/PaNET01165,multi wavelength anomalous diffraction,MAD,multi wavelength anomalous dispersion,,https://en.wikipedia.org/wiki/Multi-wavelength_anomalous_dispersion,owl:Class,subclass,macromolecular crystallography,versus energy,atomic core excitation,x-ray probe,,,,,,
1166,http://purl.org/pan-science/PaNET/PaNET01166,photo crystallography,,,,,owl:Class,subclass,single crystal diffraction,photo excitation,crystallography,,,,,,,
1167,http://purl.org/pan-science/PaNET/PaNET01167,photoelectron diffraction,PhD,,,,owl:Class,subclass,electron emission technique,coherent emission technique,x-ray probe,,,,,,,
1168,http://purl.org/pan-science/PaNET/PaNET01168,serial femtosecond crystallography,SFX,,,https://en.wikipedia.org/wiki/Serial_femtosecond_crystallography,owl:Class,subclass,x-ray single crystal diffraction,ultrafast probe,crystallography,single shot technique,,,,,,
1169,http://purl.org/pan-science/PaNET/PaNET01169,serial synchrotron crystallography,SSX,,,,owl:Class,subclass,x-ray single crystal diffraction,pulsed probe,crystallography,single shot technique,,,,,,
1170,http://purl.org/pan-science/PaNET/PaNET01170,single wavelength anomalous diffraction,SAD,single wavelength anomalous dispersion,,https://en.wikipedia.org/wiki/Single-wavelength_anomalous_dispersion,owl:Class,subclass,macromolecular crystallography,atomic core excitation,,,,,,,,
1171,http://purl.org/pan-science/PaNET/PaNET01171,small molecule diffraction,small molecule crystallography,chemical crystallography,,,owl:Class,subclass,single crystal diffraction,,,,,,,,,
1172,http://purl.org/pan-science/PaNET/PaNET01172,surface x-ray diffraction,,,,,owl:Class,subclass,surface diffraction,x-ray probe,,,,,,,,
1173,http://purl.org/pan-science/PaNET/PaNET01173,x-ray standing wave,XSW,,,https://en.wikipedia.org/wiki/X-ray_standing_waves,owl:Class,subclass,diffraction,absorption technique,x-ray probe,obtain atomic structure,,,,,,
1174,http://purl.org/pan-science/PaNET/PaNET01174,coherent diffraction imaging,CDI,coherent diffractive imaging,,https://en.wikipedia.org/wiki/Coherent_diffraction_imaging,owl:Class,subclass,coherent diffraction,imaging,,,,,,,,
1175,http://purl.org/pan-science/PaNET/PaNET01175,infrared nanospectroscopy imaging,nano infrared spectroscopy,,,,owl:Class,subclass,IR photon probe,spectroscopy,obtain ultrahigh resolution spatial map,,,,,,,
1176,http://purl.org/pan-science/PaNET/PaNET01176,UV circular dichroism imaging,,,,,owl:Class,subclass,natural circular dichroism,UV photon probe,obtain spatial map,,,,,,,
1177,http://purl.org/pan-science/PaNET/PaNET01177,x-ray fluorescence,XRF,,,https://en.wikipedia.org/wiki/X-ray_fluorescence,owl:Class,subclass,x-ray emission technique,,,,,,,,,
1178,http://purl.org/pan-science/PaNET/PaNET01178,infrared microscopy,IR microscopy,,,https://en.wikipedia.org/wiki/Microscopy#Infrared_microscopy,owl:Class,subclass,IR photon probe,microscopy,,,,,,,,
1179,http://purl.org/pan-science/PaNET/PaNET01179,optical microscopy,,,,https://en.wikipedia.org/wiki/Optical_microscope,owl:Class,subclass,visible photon probe,microscopy,,,,,,,,
1180,http://purl.org/pan-science/PaNET/PaNET01180,x-ray microscopy,,,,https://en.wikipedia.org/wiki/X-ray_microscope,owl:Class,subclass,x-ray probe,microscopy,,,,,,,,
1181,http://purl.org/pan-science/PaNET/PaNET01181,pair distribution function,PDF,,,https://en.wikipedia.org/wiki/Pair_distribution_function,owl:Class,subclass,diffraction,obtain local coordination,,,,,,,,
1182,http://purl.org/pan-science/PaNET/PaNET01182,inelastic x-ray scattering,IXS,,,https://en.wikipedia.org/wiki/X-ray_scattering_techniques#Inelastic_X-ray_scattering_(IXS),owl:Class,subclass,inelastic scattering,x-ray probe,,,,,,,,
1183,http://purl.org/pan-science/PaNET/PaNET01183,resonant inelastic x-ray scattering,RIXS,,,https://en.wikipedia.org/wiki/Resonant_inelastic_X-ray_scattering,owl:Class,subclass,inelastic x-ray scattering,atomic core excitation,resonant scattering,,,,,,,
1184,http://purl.org/pan-science/PaNET/PaNET01184,x-ray scattering,,,,,owl:Class,subclass,scattering technique,x-ray probe,,,,,,,,
1185,http://purl.org/pan-science/PaNET/PaNET01185,light scattering,,,,,owl:Class,subclass,scattering technique,visible photon probe,,,,,,,,
1186,http://purl.org/pan-science/PaNET/PaNET01186,resonant x-ray scattering,RXS,,,,owl:Class,subclass,x-ray scattering,atomic core excitation,resonant scattering,,,,,,,
1187,http://purl.org/pan-science/PaNET/PaNET01187,resonant soft x-ray scattering,RSXS,,,,owl:Class,subclass,soft x-ray probe,resonant x-ray scattering,resonant scattering,,,,,,,
1188,http://purl.org/pan-science/PaNET/PaNET01188,small angle x-ray scattering,SAXS,,,https://en.wikipedia.org/wiki/Small-angle_X-ray_scattering,owl:Class,subclass,small angle scattering,x-ray probe,,,,,,,,
1189,http://purl.org/pan-science/PaNET/PaNET01189,small angle neutron scattering,SANS,,,https://en.wikipedia.org/wiki/Small-angle_neutron_scattering,owl:Class,subclass,small angle scattering,neutron diffraction,,,,,,,,
1190,http://purl.org/pan-science/PaNET/PaNET01190,total scattering,,,,,owl:Class,subclass,atomic scale diffraction,pair distribution function,,,,,,,,
1191,http://purl.org/pan-science/PaNET/PaNET01191,wide angle x-ray scattering,WAXS,,,,owl:Class,subclass,high momentum transfer scattering,x-ray probe,atomic scale diffraction,,,,,,,
1192,http://purl.org/pan-science/PaNET/PaNET01192,circular dichroism,CD,,,https://en.wikipedia.org/wiki/Circular_dichroism,owl:Class,subclass,versus photon circular polarization,dichroism,,,,,,,,
1193,http://purl.org/pan-science/PaNET/PaNET01193,energy dispersive x-ray spectroscopy,EDX,,,https://en.wikipedia.org/wiki/Energy-dispersive_X-ray_spectroscopy,owl:Class,subclass,dispersive technique,x-ray probe,spectroscopy,atomic core excitation,,,,,,
1194,http://purl.org/pan-science/PaNET/PaNET01194,microfocus spectroscopy,,,,,owl:Class,subclass,microfocussed probe,spectroscopy,,,,,,,,
1195,http://purl.org/pan-science/PaNET/PaNET01195,raman spectroscopy,,,,https://en.wikipedia.org/wiki/Raman_spectroscopy,owl:Class,subclass,inelastic scattering,photon probe,,,,,,,,
1196,http://purl.org/pan-science/PaNET/PaNET01196,x-ray absorption spectroscopy,XAS,,,https://en.wikipedia.org/wiki/X-ray_absorption_spectroscopy,owl:Class,subclass,absorption spectroscopy,x-ray probe,atomic core excitation,,,,,,,
1197,http://purl.org/pan-science/PaNET/PaNET01197,x-ray absorption fine structure,XAFS,,,https://en.wikipedia.org/wiki/X-ray_absorption_fine_structure,owl:Class,subclass,x-ray absorption spectroscopy,atomic core excitation,,,,,,,,
1198,http://purl.org/pan-science/PaNET/PaNET01198,extended x-ray absorption fine structure,EXAFS,,,https://en.wikipedia.org/wiki/Extended_X-ray_absorption_fine_structure,owl:Class,subclass,x-ray absorption fine structure,obtain local coordination,,,,,,,,
1199,http://purl.org/pan-science/PaNET/PaNET01199,x-ray absorption near edge structure,XANES,NEXAFS,,https://en.wikipedia.org/wiki/X-ray_absorption_near_edge_structure,owl:Class,subclass,x-ray absorption fine structure,obtain electronic ground state properties,,,,,,,,
1200,http://purl.org/pan-science/PaNET/PaNET01200,x-ray emission spectroscopy,XES,,,https://en.wikipedia.org/wiki/X-ray_emission_spectroscopy,owl:Class,subclass,inelastic scattering,x-ray probe,photon emission technique,spectroscopy,,,,,,
1201,http://purl.org/pan-science/PaNET/PaNET01201,electron spectroscopy,,,,https://en.wikipedia.org/wiki/Electron_spectroscopy,owl:Class,subclass,electron emission technique,spectroscopy,,,,,,,,
1202,http://purl.org/pan-science/PaNET/PaNET01202,photoelectron spectroscopy,PES,,,https://en.wikipedia.org/wiki/Photoemission_spectroscopy,owl:Class,subclass,electron spectroscopy,photon probe,obtain electronic density of occupied states,,,,,,,
1203,http://purl.org/pan-science/PaNET/PaNET01203,spin resolved photoelectron spectroscopy,,,,,owl:Class,subclass,photoelectron spectroscopy,versus emitted polarization,,,,,,,,
1204,http://purl.org/pan-science/PaNET/PaNET01204,x-ray photoelectron spectroscopy,XPS,,,https://en.wikipedia.org/wiki/X-ray_photoelectron_spectroscopy,owl:Class,subclass,x-ray probe,photoelectron spectroscopy,,,,,,,,
1205,http://purl.org/pan-science/PaNET/PaNET01205,x-ray photon correlation spectroscopy,XPCS,,,https://en.wikipedia.org/wiki/X-ray_Photon_Correlation_Spectroscopy,owl:Class,subclass,x-ray probe,photon correlation spectroscopy,,,,,,,,
1206,http://purl.org/pan-science/PaNET/PaNET01206,microtomography,,,,,owl:Class,subclass,tomography,obtain high resolution spatial map,,,,,,,,
1207,http://purl.org/pan-science/PaNET/PaNET01207,x-ray tomography,CT scan,,,https://en.wikipedia.org/wiki/CT_scan,owl:Class,subclass,tomography,x-ray probe,,,,,,,,
1208,http://purl.org/pan-science/PaNET/PaNET01208,x-ray microtomography,,,,https://en.wikipedia.org/wiki/Talk:X-ray_microtomography,owl:Class,subclass,microtomography,x-ray probe,,,,,,,,
1209,http://purl.org/pan-science/PaNET/PaNET01209,absorption microtomography,Absorption-based tomographic microscopy,,,,owl:Class,subclass,microtomography,absorption technique,,,,,,,,
1210,http://purl.org/pan-science/PaNET/PaNET01210,propagation phase contrast microtomography,,,,,owl:Class,subclass,propagation phase contrast tomography,microscopy,,,,,,,,
1211,http://purl.org/pan-science/PaNET/PaNET01211,ultrafast microtomography,Ultra-fast tomographic microscopy,,,,owl:Class,subclass,ultrafast tomography,obtain high resolution spatial map,,,,,,,,
1212,http://purl.org/pan-science/PaNET/PaNET01212,ptychography,,,,https://en.wikipedia.org/wiki/Ptychography,owl:Class,subclass,coherent diffraction imaging,scanning probe,,,,,,,,
1213,http://purl.org/pan-science/PaNET/PaNET01213,ptychographic nanotomography,,,,,owl:Class,subclass,ptychography,nanotomography,,,,,,,,
1214,http://purl.org/pan-science/PaNET/PaNET01214,instrumentation testing,,,,,owl:Class,subclass,testing,,,,,,,,,
1215,http://purl.org/pan-science/PaNET/PaNET01215,optics characterization,,,,,owl:Class,subclass,instrumentation testing,,,,,,,,,
1216,http://purl.org/pan-science/PaNET/PaNET01216,x-ray diffraction,XRD,,,,owl:Class,subclass,diffraction,x-ray probe,,,,,,,,
1217,http://purl.org/pan-science/PaNET/PaNET01217,neutron diffraction,,,,https://en.wikipedia.org/wiki/Neutron_diffraction,owl:Class,subclass,diffraction,neutron probe,,,,,,,,
1218,http://purl.org/pan-science/PaNET/PaNET01218,ambient pressure x-ray photoelectron spectroscopy,,,,,owl:Class,subclass,x-ray photoelectron spectroscopy,,,,,,,,,
1219,http://purl.org/pan-science/PaNET/PaNET01219,scanning transmission x-ray microscopy,STXM,,,https://en.wikipedia.org/wiki/Scanning_transmission_X-ray_microscopy,owl:Class,subclass,scanning transmission microscopy,x-ray probe,,,,,,,,
1220,http://purl.org/pan-science/PaNET/PaNET01220,total electron yield,TEY,,,,owl:Class,subclass,electron emission technique,,,,,,,,,
1221,http://purl.org/pan-science/PaNET/PaNET01221,XMCD total electron yield,XMCD TEY,,,,owl:Class,subclass,x-ray magnetic circular dichroism,total electron yield,,,,,,,,
1222,http://purl.org/pan-science/PaNET/PaNET01222,spin and angle resolved photoemission spectroscopy,,,,,owl:Class,subclass,angle resolved photoemission spectroscopy,versus emitted polarization,,,,,,,,
1223,http://purl.org/pan-science/PaNET/PaNET01223,lithography,,,,https://en.wikipedia.org/wiki/Lithography,owl:Class,subclass,manufacturing technique,,,,,,,,,
1224,http://purl.org/pan-science/PaNET/PaNET01224,x-ray lithography,,,,https://en.wikipedia.org/wiki/X-ray_lithography,owl:Class,subclass,x-ray probe,lithography,,,,,,,,
1225,http://purl.org/pan-science/PaNET/PaNET01225,EUV lithography,,,,,owl:Class,subclass,EUV photon probe,lithography,,,,,,,,
1226,http://purl.org/pan-science/PaNET/PaNET01226,x-ray interference lithography,,,,,owl:Class,subclass,interferometry technique,,,,,,,,,
1227,http://purl.org/pan-science/PaNET/PaNET01227,x-ray absorption,,,,,owl:Class,subclass,absorption technique,x-ray probe,,,,,,,,
1228,http://purl.org/pan-science/PaNET/PaNET01228,nonresonant diffraction,,,,,owl:Class,subclass,diffraction,,,,,,,,,
1229,http://purl.org/pan-science/PaNET/PaNET01229,nonlinear x-ray spectroscopy,,,,,owl:Class,subclass,nonlinear interaction,x-ray spectroscopy,,,,,,,,
1230,http://purl.org/pan-science/PaNET/PaNET01230,single-shot imaging,,,,,owl:Class,subclass,single shot technique,imaging,,,,,,,,
1231,http://purl.org/pan-science/PaNET/PaNET01231,nanoimprint lithography,,,,https://en.wikipedia.org/wiki/Nanoimprint_lithography,owl:Class,subclass,lithography,,,,,,,,,
1232,http://purl.org/pan-science/PaNET/PaNET01232,grayscale lithography,,,,,owl:Class,subclass,lithography,,,,,,,,,
1233,http://purl.org/pan-science/PaNET/PaNET01233,polymer micro and nanografting,,,,,owl:Class,subclass,manufacturing technique,,,,,,,,,
1234,http://purl.org/pan-science/PaNET/PaNET01234,high resolution neutron powder diffraction,,,,,owl:Class,subclass,neutron powder diffraction,high momentum transfer resolution scattering,,,,,,,,
1235,http://purl.org/pan-science/PaNET/PaNET01235,high resolution thermal neutron powder diffraction,,,,,owl:Class,subclass,high resolution neutron powder diffraction,thermal neutron probe,,,,,,,,
1236,http://purl.org/pan-science/PaNET/PaNET01236,neutron single crystal diffraction,,,,,owl:Class,subclass,single crystal diffraction,neutron probe,,,,,,,,
1237,http://purl.org/pan-science/PaNET/PaNET01237,thermal neutron single crystal diffraction,,,,,owl:Class,subclass,neutron single crystal diffraction,thermal neutron probe,,,,,,,,
1238,http://purl.org/pan-science/PaNET/PaNET01238,pulse overlap diffraction,,,,,owl:Class,subclass,x-ray photon correlation spectroscopy,ultrafast probe,,,,,,,,
1239,http://purl.org/pan-science/PaNET/PaNET01239,neutron reflectometry,neutron reflectivity,,,https://en.wikipedia.org/wiki/Neutron_reflectometry,owl:Class,subclass,reflectometry,neutron probe,,,,,,,,
1240,http://purl.org/pan-science/PaNET/PaNET01240,ultra small angle neutron scattering,,,,,owl:Class,subclass,ultra small angle scattering,neutron probe,,,,,,,,
1241,http://purl.org/pan-science/PaNET/PaNET01241,ultra small angle x-ray scattering,USAXS,,,,owl:Class,subclass,ultra small angle scattering,x-ray probe,,,,,,,,
1242,http://purl.org/pan-science/PaNET/PaNET01242,neutron scattering,,,,https://en.wikipedia.org/wiki/Neutron_scattering,owl:Class,subclass,scattering technique,neutron probe,,,,,,,,
1243,http://purl.org/pan-science/PaNET/PaNET01243,polarized neutron reflectometry,polarized neutron reflectivity,,,,owl:Class,subclass,neutron reflectometry,versus polarization,,,,,,,,
1244,http://purl.org/pan-science/PaNET/PaNET01244,time-of-flight spectrometry,TOF spectrometry,TOF spectroscopy,,,owl:Class,subclass,spectroscopy,neutron time of flight technique,,,,,,,,
1245,http://purl.org/pan-science/PaNET/PaNET01245,inelastic neutron spectroscopy,inelastic neutron scattering spectroscopy,inelastic neutron scattering,,Neutron spectroscopy - Wikipedia,owl:Class,subclass,inelastic scattering,neutron probe,spectroscopy,,,,,,,
1246,http://purl.org/pan-science/PaNET/PaNET01246,cold neutron spectroscopy,,,,,owl:Class,subclass,inelastic neutron spectroscopy,cold neutron probe,,,,,,,,
1247,http://purl.org/pan-science/PaNET/PaNET01247,thermal neutron spectroscopy,,,,,owl:Class,subclass,inelastic neutron spectroscopy,thermal neutron probe,,,,,,,,
1248,http://purl.org/pan-science/PaNET/PaNET01248,neutron transmission radiography,,,,,owl:Class,subclass,neutron probe,absorption technique,imaging,,,,,,,
1249,http://purl.org/pan-science/PaNET/PaNET01249,cold neutron imaging,,,,,owl:Class,subclass,imaging,cold neutron probe,,,,,,,,
1250,http://purl.org/pan-science/PaNET/PaNET01250,high-resolution neutron imaging ,,,,,owl:Class,subclass,imaging,obtain high resolution spatial map,neutron probe,,,,,,,
1251,http://purl.org/pan-science/PaNET/PaNET01251,THz near field microscopy,,,,,owl:Class,subclass,THz photon probe,microscopy,scanning probe,,,,,,,
1252,http://purl.org/pan-science/PaNET/PaNET01252,magnetic scattering,,,,,owl:Class,subclass,scattering technique,magnetism technique,,,,,,,,
1253,http://purl.org/pan-science/PaNET/PaNET01253,magnetic diffraction,,,,,owl:Class,subclass,diffraction,magnetism technique,,,,,,,,
1254,http://purl.org/pan-science/PaNET/PaNET01254,microfocus x-ray fluorescence,,,,,owl:Class,subclass,microfocussed probe,x-ray emission technique,,,,,,,,
1255,http://purl.org/pan-science/PaNET/PaNET01255,ellipsometry,,,,https://en.wikipedia.org/wiki/Ellipsometry,owl:Class,subclass,versus emitted polarization,reflection technique,photon probe,,,,,,,
1256,http://purl.org/pan-science/PaNET/PaNET01256,polarimetry,,,,,owl:Class,subclass,versus emitted polarization,,,,,,,,,
1257,http://purl.org/pan-science/PaNET/PaNET01257,UV photoelectron emission,,,,,owl:Class,subclass,UV photon probe,photoelectron emission,,,,,,,,
1258,http://purl.org/pan-science/PaNET/PaNET01258,x-ray photoelectron emission,,,,,owl:Class,subclass,x-ray probe,photoelectron emission,,,,,,,,
1259,http://purl.org/pan-science/PaNET/PaNET01259,x-ray magnetic linear dichroism,XMLD,,,,owl:Class,subclass,x-ray probe,magnetic linear dichroism,,,,,,,,
1260,http://purl.org/pan-science/PaNET/PaNET01260,resonant elastic x-ray scattering,REXS,,,,owl:Class,subclass,resonant x-ray scattering,elastic scattering,resonant scattering,,,,,,,
1261,http://purl.org/pan-science/PaNET/PaNET01261,x-ray refraction imaging,x-ray refraction radiography,,,,owl:Class,subclass,x-ray probe,refraction technique,imaging,,,,,,,
1262,http://purl.org/pan-science/PaNET/PaNET01262,x-ray refraction tomography,,,,,owl:Class,subclass,x-ray probe,propagation phase contrast tomography,,,,,,,,
1263,http://purl.org/pan-science/PaNET/PaNET01263,time dependent scattering,time resolved scattering,,,,owl:Class,subclass,time dependent study,scattering technique,,,,,,,,
1264,http://purl.org/pan-science/PaNET/PaNET01264,time dependent diffraction,time resolved diffraction,,,,owl:Class,subclass,time dependent scattering,diffraction,,,,,,,,
1265,http://purl.org/pan-science/PaNET/PaNET01265,time dependent absorption,time resolved absorption,,,,owl:Class,subclass,time dependent study,absorption technique,,,,,,,,
1266,http://purl.org/pan-science/PaNET/PaNET01266,x-ray holography,,,,,owl:Class,subclass,holography,x-ray probe,,,,,,,,
1267,http://purl.org/pan-science/PaNET/PaNET01267,ion imaging,,,,,owl:Class,subclass,ion emission technique,photon probe,versus emission momentum,,,,,,,
1268,http://purl.org/pan-science/PaNET/PaNET01268,mass spectrometry,,,,https://en.wikipedia.org/wiki/Mass_spectrometry,owl:Class,subclass,versus emission mass,,,,,,,,,
1269,http://purl.org/pan-science/PaNET/PaNET01269,photoelectron emission,,,,https://en.wikipedia.org/wiki/Photoelectric_effect,owl:Class,subclass,photon probe,electron emission technique,,,,,,,,
1270,http://purl.org/pan-science/PaNET/PaNET01270,nuclear resonant scattering,,,,,owl:Class,subclass,nuclear resonance,resonant scattering,,,,,,,,
1271,http://purl.org/pan-science/PaNET/PaNET01271,microfocus x-ray scattering,,,,,owl:Class,subclass,x-ray scattering,microfocussed probe,,,,,,,,
1272,http://purl.org/pan-science/PaNET/PaNET01272,nanofocus x-ray scattering,,,,,owl:Class,subclass,microfocus x-ray scattering,nanofocussed probe,,,,,,,,
1273,http://purl.org/pan-science/PaNET/PaNET01273,small angle inelastic scattering,,,,,owl:Class,subclass,inelastic scattering,small angle scattering,,,,,,,,
1274,http://purl.org/pan-science/PaNET/PaNET01274,anomalous small angle x-ray scattering,ASAXS,,,,owl:Class,subclass,resonant diffraction,small angle scattering,x-ray probe,,,,,,,
1275,http://purl.org/pan-science/PaNET/PaNET01275,anomalous solution x-ray scattering,ASAX,,,,owl:Class,subclass,anomalous small angle x-ray scattering,,,,,,,,,
1276,http://purl.org/pan-science/PaNET/PaNET01276,grazing incidence small angle neutron scattering,GISANS,,,https://en.wikipedia.org/wiki/Grazing-incidence_small-angle_scattering,owl:Class,subclass,grazing incidence small angle scattering,small angle neutron scattering,,,,,,,,
1277,http://purl.org/pan-science/PaNET/PaNET01277,time of flight small angle neutron scattering,,,,,owl:Class,subclass,small angle neutron scattering,time of flight technique,,,,,,,,
1278,http://purl.org/pan-science/PaNET/PaNET01278,very small angle neutron scattering,VSANS,,,,owl:Class,subclass,small angle neutron scattering,ultra small angle scattering,,,,,,,,
1279,http://purl.org/pan-science/PaNET/PaNET01279,diffuse small angle scattering,,,,,owl:Class,subclass,small angle scattering,diffuse scattering,,,,,,,,
1280,http://purl.org/pan-science/PaNET/PaNET01280,diffuse small angle x-ray scattering,,,,,owl:Class,subclass,diffuse small angle scattering,x-ray probe,,,,,,,,
1281,http://purl.org/pan-science/PaNET/PaNET01281,inelastic x-ray small angle scattering,,,,,owl:Class,subclass,small angle x-ray scattering,inelastic x-ray scattering,small angle inelastic scattering,,,,,,,
1282,http://purl.org/pan-science/PaNET/PaNET01282,soft x-ray small angle scattering,,,,,owl:Class,subclass,small angle x-ray scattering,soft x-ray probe,,,,,,,,
1283,http://purl.org/pan-science/PaNET/PaNET01283,soft x-ray diffraction,,,,,owl:Class,subclass,soft x-ray probe,diffraction,,,,,,,,
1284,http://purl.org/pan-science/PaNET/PaNET01284,x-ray photoelectron diffraction,,,,,owl:Class,subclass,photoelectron diffraction,x-ray probe,,,,,,,,
1285,http://purl.org/pan-science/PaNET/PaNET01285,x-ray imaging,,,,https://en.wikipedia.org/wiki/Radiography,owl:Class,subclass,imaging,x-ray probe,,,,,,,,
1286,http://purl.org/pan-science/PaNET/PaNET01286,micro small angle x-ray scattering tomography,micro SAXS tomography,,,,owl:Class,subclass,microtomography,grazing incidence small angle x-ray scattering,,,,,,,,
1287,http://purl.org/pan-science/PaNET/PaNET01287,micro grazing incidence small angle x-ray scattering tomography,micro GISAXS tomography,,,,owl:Class,subclass,micro small angle x-ray scattering tomography,grazing incidence small angle x-ray scattering,,,,,,,,
